window,value,percentile,total_count
0,4,0.0,711
0,7,50.0,711
0,15,90.0,289
0,15,99.0,289
0,15,99.9,289
0,15,99.99,289
0,15,99.999,289
0,15,100.0,289
1,0,0.0,4
1,127,50.0,341
1,255,90.0,325
1,255,99.0,325
1,255,99.9,325
1,255,99.99,325
1,255,99.999,325
1,255,100.0,325
2,4,0.0,6
2,127,50.0,371
2,255,90.0,499
2,255,99.0,499
2,255,99.9,499
2,255,99.99,499
2,255,99.999,499
2,255,100.0,499
3,2,0.0,1
3,127,50.0,397
3,255,90.0,493
3,255,99.0,493
3,255,99.9,493
3,255,99.99,493
3,255,99.999,493
3,255,100.0,493
4,32,0.0,82
4,127,50.0,475
4,255,90.0,443
4,255,99.0,443
4,255,99.9,443
4,255,99.99,443
4,255,99.999,443
4,255,100.0,443
5,0,0.0,2
5,63,50.0,294
5,127,90.0,456
5,255,99.0,20
5,255,99.9,20
5,255,99.99,20
5,255,99.999,20
5,255,100.0,20
6,1,0.0,8
6,127,50.0,344
6,255,90.0,322
6,255,99.0,322
6,255,99.9,322
6,255,99.99,322
6,255,99.999,322
6,255,100.0,322
7,16,0.0,13
7,127,50.0,536
7,255,90.0,343
7,255,99.0,343
7,255,99.9,343
7,255,99.99,343
7,255,99.999,343
7,255,100.0,343
8,32,0.0,13
8,255,50.0,542
8,255,90.0,542
8,255,99.0,542
8,255,99.9,542
8,255,99.99,542
8,255,99.999,542
8,255,100.0,542
9,8,0.0,1
9,127,50.0,507
9,255,90.0,250
9,255,99.0,250
9,255,99.9,250
9,255,99.99,250
9,255,99.999,250
9,255,100.0,250
10,32,0.0,66
10,127,50.0,574
10,255,90.0,360
10,255,99.0,360
10,255,99.9,360
10,255,99.99,360
10,255,99.999,360
10,255,100.0,360
11,2,0.0,3
11,127,50.0,550
11,255,90.0,236
11,255,99.0,236
11,255,99.9,236
11,255,99.99,236
11,255,99.999,236
11,255,100.0,236
12,2,0.0,1
12,127,50.0,583
12,255,90.0,202
12,255,99.0,202
12,255,99.9,202
12,255,99.99,202
12,255,99.999,202
12,255,100.0,202
13,32,0.0,44
13,127,50.0,602
13,255,90.0,354
13,255,99.0,354
13,255,99.9,354
13,255,99.99,354
13,255,99.999,354
13,255,100.0,354
14,4,0.0,6
14,127,50.0,470
14,255,90.0,274
14,255,99.0,274
14,255,99.9,274
14,255,99.99,274
14,255,99.999,274
14,255,100.0,274
15,16,0.0,17
15,127,50.0,555
15,255,90.0,273
15,255,99.0,273
15,255,99.9,273
15,255,99.99,273
15,255,99.999,273
15,255,100.0,273
16,2,0.0,2
16,127,50.0,432
16,255,90.0,397
16,255,99.0,397
16,255,99.9,397
16,255,99.99,397
16,255,99.999,397
16,255,100.0,397
17,2,0.0,3
17,127,50.0,410
17,255,90.0,330
17,255,99.0,330
17,255,99.9,330
17,255,99.99,330
17,255,99.999,330
17,255,100.0,330
18,32,0.0,45
18,127,50.0,518
18,255,90.0,437
18,255,99.0,437
18,255,99.9,437
18,255,99.99,437
18,255,99.999,437
18,255,100.0,437
19,4,0.0,5
19,127,50.0,365
19,255,90.0,475
19,255,99.0,475
19,255,99.9,475
19,255,99.99,475
19,255,99.999,475
19,255,100.0,475
20,8,0.0,7
20,127,50.0,335
20,255,90.0,367
20,255,99.0,367
20,255,99.9,367
20,255,99.99,367
20,255,99.999,367
20,255,100.0,367
21,4,0.0,4
21,127,50.0,454
21,255,90.0,392
21,255,99.0,392
21,255,99.9,392
21,255,99.99,392
21,255,99.999,392
21,255,100.0,392
22,16,0.0,1
22,127,50.0,463
22,255,90.0,496
22,255,99.0,496
22,255,99.9,496
22,255,99.99,496
22,255,99.999,496
22,255,100.0,496
23,2,0.0,2
23,127,50.0,406
23,255,90.0,431
23,255,99.0,431
23,255,99.9,431
23,255,99.99,431
23,255,99.999,431
23,255,100.0,431
24,16,0.0,29
24,127,50.0,445
24,255,90.0,394
24,255,99.0,394
24,255,99.9,394
24,255,99.99,394
24,255,99.999,394
24,255,100.0,394
25,1,0.0,1
25,127,50.0,396
25,255,90.0,302
25,255,99.0,302
25,255,99.9,302
25,255,99.99,302
25,255,99.999,302
25,255,100.0,302
26,0,0.0,2
26,127,50.0,383
26,255,90.0,299
26,255,99.0,299
26,255,99.9,299
26,255,99.99,299
26,255,99.999,299
26,255,100.0,299
27,2,0.0,4
27,127,50.0,398
27,255,90.0,122
27,255,99.0,122
27,255,99.9,122
27,255,99.99,122
27,255,99.999,122
27,255,100.0,122
28,1,0.0,1
28,255,50.0,544
28,255,90.0,544
28,255,99.0,544
28,255,99.9,544
28,255,99.99,544
28,255,99.999,544
28,255,100.0,544
29,1,0.0,2
29,127,50.0,389
29,255,90.0,221
29,255,99.0,221
29,255,99.9,221
29,255,99.99,221
29,255,99.999,221
29,255,100.0,221
30,64,0.0,18
30,511,50.0,332
30,511,90.0,332
30,511,99.0,332
30,511,99.9,332
30,511,99.99,332
30,511,99.999,332
30,511,100.0,332
31,256,0.0,766
31,511,50.0,766
31,1023,90.0,144
31,1023,99.0,144
31,1023,99.9,144
31,1023,99.99,144
31,1023,99.999,144
31,1023,100.0,144
32,256,0.0,403
32,1023,50.0,510
32,1023,90.0,510
32,1023,99.0,510
32,1023,99.9,510
32,1023,99.99,510
32,1023,99.999,510
32,1023,100.0,510
33,256,0.0,70
33,1023,50.0,847
33,1023,90.0,847
33,1023,99.0,847
33,1023,99.9,847
33,1023,99.99,847
33,1023,99.999,847
33,1023,100.0,847
34,512,0.0,880
34,1023,50.0,880
34,1023,90.0,880
34,1023,99.0,880
34,1023,99.9,880
34,1023,99.99,880
34,1023,99.999,880
34,1023,100.0,880
35,512,0.0,900
35,1023,50.0,900
35,1023,90.0,900
35,2047,99.0,10
35,2047,99.9,10
35,2047,99.99,10
35,2047,99.999,10
35,2047,100.0,10
36,512,0.0,700
36,1023,50.0,700
36,2047,90.0,210
36,2047,99.0,210
36,2047,99.9,210
36,2047,99.99,210
36,2047,99.999,210
36,2047,100.0,210
37,512,0.0,449
37,2047,50.0,471
37,2047,90.0,471
37,2047,99.0,471
37,2047,99.9,471
37,2047,99.99,471
37,2047,99.999,471
37,2047,100.0,471
38,512,0.0,282
38,2047,50.0,638
38,2047,90.0,638
38,2047,99.0,638
38,2047,99.9,638
38,2047,99.99,638
38,2047,99.999,638
38,2047,100.0,638
39,512,0.0,2
39,2047,50.0,867
39,2047,90.0,867
39,2047,99.0,867
39,2047,99.9,867
39,2047,99.99,867
39,2047,99.999,867
39,2047,100.0,867
40,1024,0.0,826
40,2047,50.0,826
40,2047,90.0,826
40,2047,99.0,826
40,2047,99.9,826
40,2047,99.99,826
40,2047,99.999,826
40,2047,100.0,826
41,1024,0.0,875
41,2047,50.0,875
41,2047,90.0,875
41,2047,99.0,875
41,2047,99.9,875
41,2047,99.99,875
41,2047,99.999,875
41,2047,100.0,875
42,1024,0.0,930
42,2047,50.0,930
42,2047,90.0,930
42,2047,99.0,930
42,2047,99.9,930
42,2047,99.99,930
42,2047,99.999,930
42,2047,100.0,930
43,1024,0.0,890
43,2047,50.0,890
43,2047,90.0,890
43,2047,99.0,890
43,2047,99.9,890
43,2047,99.99,890
43,2047,99.999,890
43,2047,100.0,890
44,1024,0.0,882
44,2047,50.0,882
44,2047,90.0,882
44,2047,99.0,882
44,2047,99.9,882
44,2047,99.99,882
44,2047,99.999,882
44,2047,100.0,882
45,1024,0.0,858
45,2047,50.0,858
45,2047,90.0,858
45,4095,99.0,70
45,4095,99.9,70
45,4095,99.99,70
45,4095,99.999,70
45,4095,100.0,70
46,1024,0.0,538
46,2047,50.0,538
46,4095,90.0,362
46,4095,99.0,362
46,4095,99.9,362
46,4095,99.99,362
46,4095,99.999,362
46,4095,100.0,362
47,1024,0.0,391
47,4095,50.0,534
47,4095,90.0,534
47,4095,99.0,534
47,4095,99.9,534
47,4095,99.99,534
47,4095,99.999,534
47,4095,100.0,534
48,1024,0.0,128
48,4095,50.0,767
48,4095,90.0,767
48,4095,99.0,767
48,4095,99.9,767
48,4095,99.99,767
48,4095,99.999,767
48,4095,100.0,767
49,2048,0.0,890
49,4095,50.0,890
49,4095,90.0,890
49,4095,99.0,890
49,4095,99.9,890
49,4095,99.99,890
49,4095,99.999,890
49,4095,100.0,890
50,2048,0.0,830
50,4095,50.0,830
50,4095,90.0,830
50,4095,99.0,830
50,4095,99.9,830
50,4095,99.99,830
50,4095,99.999,830
50,4095,100.0,830
51,2048,0.0,961
51,4095,50.0,961
51,4095,90.0,961
51,4095,99.0,961
51,4095,99.9,961
51,4095,99.99,961
51,4095,99.999,961
51,4095,100.0,961
52,2048,0.0,859
52,4095,50.0,859
52,4095,90.0,859
52,4095,99.0,859
52,4095,99.9,859
52,4095,99.99,859
52,4095,99.999,859
52,4095,100.0,859
53,2048,0.0,890
53,4095,50.0,890
53,4095,90.0,890
53,4095,99.0,890
53,4095,99.9,890
53,4095,99.99,890
53,4095,99.999,890
53,4095,100.0,890
54,2048,0.0,900
54,4095,50.0,900
54,4095,90.0,900
54,4095,99.0,900
54,4095,99.9,900
54,4095,99.99,900
54,4095,99.999,900
54,4095,100.0,900
55,2048,0.0,925
55,4095,50.0,925
55,4095,90.0,925
55,4095,99.0,925
55,4095,99.9,925
55,4095,99.99,925
55,4095,99.999,925
55,4095,100.0,925
56,2048,0.0,915
56,4095,50.0,915
56,4095,90.0,915
56,4095,99.0,915
56,4095,99.9,915
56,4095,99.99,915
56,4095,99.999,915
56,4095,100.0,915
57,2048,0.0,820
57,4095,50.0,820
57,4095,90.0,820
57,4095,99.0,820
57,4095,99.9,820
57,4095,99.99,820
57,4095,99.999,820
57,4095,100.0,820
58,2048,0.0,920
58,4095,50.0,920
58,4095,90.0,920
58,4095,99.0,920
58,4095,99.9,920
58,4095,99.99,920
58,4095,99.999,920
58,4095,100.0,920
59,2048,0.0,921
59,4095,50.0,921
59,4095,90.0,921
59,4095,99.0,921
59,4095,99.9,921
59,4095,99.99,921
59,4095,99.999,921
59,4095,100.0,921
60,2048,0.0,849
60,4095,50.0,849
60,4095,90.0,849
60,4095,99.0,849
60,4095,99.9,849
60,4095,99.99,849
60,4095,99.999,849
60,4095,100.0,849
61,2048,0.0,890
61,4095,50.0,890
61,4095,90.0,890
61,4095,99.0,890
61,4095,99.9,890
61,4095,99.99,890
61,4095,99.999,890
61,4095,100.0,890
62,2048,0.0,910
62,4095,50.0,910
62,4095,90.0,910
62,4095,99.0,910
62,4095,99.9,910
62,4095,99.99,910
62,4095,99.999,910
62,4095,100.0,910
63,2048,0.0,926
63,4095,50.0,926
63,4095,90.0,926
63,4095,99.0,926
63,4095,99.9,926
63,4095,99.99,926
63,4095,99.999,926
63,4095,100.0,926
64,2048,0.0,894
64,4095,50.0,894
64,4095,90.0,894
64,4095,99.0,894
64,4095,99.9,894
64,4095,99.99,894
64,4095,99.999,894
64,4095,100.0,894
65,2048,0.0,840
65,4095,50.0,840
65,4095,90.0,840
65,4095,99.0,840
65,4095,99.9,840
65,4095,99.99,840
65,4095,99.999,840
65,4095,100.0,840
66,2048,0.0,860
66,4095,50.0,860
66,4095,90.0,860
66,4095,99.0,860
66,4095,99.9,860
66,4095,99.99,860
66,4095,99.999,860
66,4095,100.0,860
67,2048,0.0,983
67,4095,50.0,983
67,4095,90.0,983
67,4095,99.0,983
67,4095,99.9,983
67,4095,99.99,983
67,4095,99.999,983
67,4095,100.0,983
68,2048,0.0,847
68,4095,50.0,847
68,4095,90.0,847
68,4095,99.0,847
68,4095,99.9,847
68,4095,99.99,847
68,4095,99.999,847
68,4095,100.0,847
69,2048,0.0,900
69,4095,50.0,900
69,4095,90.0,900
69,4095,99.0,900
69,4095,99.9,900
69,4095,99.99,900
69,4095,99.999,900
69,4095,100.0,900
70,2048,0.0,880
70,4095,50.0,880
70,4095,90.0,880
70,4095,99.0,880
70,4095,99.9,880
70,4095,99.99,880
70,4095,99.999,880
70,4095,100.0,880
71,2048,0.0,920
71,4095,50.0,920
71,4095,90.0,920
71,4095,99.0,920
71,4095,99.9,920
71,4095,99.99,920
71,4095,99.999,920
71,4095,100.0,920
72,2048,0.0,910
72,4095,50.0,910
72,4095,90.0,910
72,4095,99.0,910
72,4095,99.9,910
72,4095,99.99,910
72,4095,99.999,910
72,4095,100.0,910
73,2048,0.0,830
73,4095,50.0,830
73,4095,90.0,830
73,4095,99.0,830
73,4095,99.9,830
73,4095,99.99,830
73,4095,99.999,830
73,4095,100.0,830
74,2048,0.0,900
74,4095,50.0,900
74,4095,90.0,900
74,4095,99.0,900
74,4095,99.9,900
74,4095,99.99,900
74,4095,99.999,900
74,4095,100.0,900
75,2048,0.0,810
75,4095,50.0,810
75,4095,90.0,810
75,4095,99.0,810
75,4095,99.9,810
75,4095,99.99,810
75,4095,99.999,810
75,4095,100.0,810
76,2048,0.0,900
76,4095,50.0,900
76,4095,90.0,900
76,4095,99.0,900
76,4095,99.9,900
76,4095,99.99,900
76,4095,99.999,900
76,4095,100.0,900
77,2048,0.0,906
77,4095,50.0,906
77,4095,90.0,906
77,4095,99.0,906
77,4095,99.9,906
77,4095,99.99,906
77,4095,99.999,906
77,4095,100.0,906
78,2048,0.0,894
78,4095,50.0,894
78,4095,90.0,894
78,4095,99.0,894
78,4095,99.9,894
78,4095,99.99,894
78,4095,99.999,894
78,4095,100.0,894
79,2048,0.0,920
79,4095,50.0,920
79,4095,90.0,920
79,4095,99.0,920
79,4095,99.9,920
79,4095,99.99,920
79,4095,99.999,920
79,4095,100.0,920
80,2048,0.0,900
80,4095,50.0,900
80,4095,90.0,900
80,4095,99.0,900
80,4095,99.9,900
80,4095,99.99,900
80,4095,99.999,900
80,4095,100.0,900
81,2048,0.0,858
81,4095,50.0,858
81,4095,90.0,858
81,4095,99.0,858
81,4095,99.9,858
81,4095,99.99,858
81,4095,99.999,858
81,4095,100.0,858
82,2048,0.0,852
82,4095,50.0,852
82,4095,90.0,852
82,4095,99.0,852
82,4095,99.9,852
82,4095,99.99,852
82,4095,99.999,852
82,4095,100.0,852
83,2048,0.0,900
83,4095,50.0,900
83,4095,90.0,900
83,4095,99.0,900
83,4095,99.9,900
83,4095,99.99,900
83,4095,99.999,900
83,4095,100.0,900
84,2048,0.0,890
84,4095,50.0,890
84,4095,90.0,890
